"id","Sid","nid","rand_point","type","source","count","xcoord","ycoord","YLat","XLon","Ylogis","road","date","month","season","class","order","species","D_Culvert","D_StreamCr","D_WaterSo","D_FDrain","D_Ruizi","D_StreamUp","RS_light","RS_AgriFa","RS_Multiuse","RS_Wall","RS_RoadJunc","RS_Facility","RS_Parking","RS_Farm","RS_RoadVS","RS_RoadVP","RS_OpenGP","RS_OpenGV","RS_ShortGr","RS_LongGr","RS_TBottom","RS_Bottom","RS_Bamb","RS_Shrubs","RS_CRW","RS_CRWdw","RS_CRWH","RS_CRWHdw","RS_DryStone","RS_MStoneRW","RS_Net","RS_JerseyB","RS_WBeam","RS_VegSlope","RS_OpDrain","RS_OpDrainB","RS_OpDrainW","RS_OpDrainG","elevation","stramean_025","stramax_025","light_dw025","light_dw050","light_dw100","light_dw150","light_dw200","light_dw250","light_up025","light_up050","light_up100","light_up150","light_up200","light_up250","slpmean_dw025","slpmean_dw050","slpmean_dw100","slpmean_dw150","slpmean_dw200","slpmean_dw250","slpmean_up025","slpmean_up050","slpmean_up100","slpmean_up150","slpmean_up200","slpmean_up250","strasum_dw025","strasum_dw050","strasum_dw100","strasum_dw150","strasum_dw200","strasum_dw250","strasum_up025","strasum_up050","strasum_up100","strasum_up150","strasum_up200","strasum_up250","stramean_dw025","stramean_dw050","stramean_dw100","stramean_dw150","stramean_dw200","stramean_dw250","stramean_up025","stramean_up050","stramean_up100","stramean_up150","stramean_up200","stramean_up250","stramax_dw025","stramax_dw050","stramax_dw100","stramax_dw150","stramax_dw200","stramax_dw250","stramax_up025","stramax_up050","stramax_up100","stramax_up150","stramax_up200","stramax_up250","crop_dw025","crop_dw050","crop_dw100","crop_dw150","crop_dw200","crop_dw250","crop_up025","crop_up050","crop_up100","crop_up150","crop_up200","crop_up250","orchard_dw025","orchard_dw050","orchard_dw100","orchard_dw150","orchard_dw200","orchard_dw250","orchard_up025","orchard_up050","orchard_up100","orchard_up150","orchard_up200","orchard_up250","BLeafF_dw025","BLeafF_dw050","BLeafF_dw100","BLeafF_dw150","BLeafF_dw200","BLeafF_dw250","BLeafF_up025","BLeafF_up050","BLeafF_up100","BLeafF_up150","BLeafF_up200","BLeafF_up250","BambF_dw025","BambF_dw050","BambF_dw100","BambF_dw150","BambF_dw200","BambF_dw250","BambF_up025","BambF_up050","BambF_up100","BambF_up150","BambF_up200","BambF_up250","house_dw025","house_dw050","house_dw100","house_dw150","house_dw200","house_dw250","house_up025","house_up050","house_up100","house_up150","house_up200","house_up250","river_dw025","river_dw050","river_dw100","river_dw150","river_dw200","river_dw250","aspect_E","aspect_N","aspect_S","aspect_W"
1,"sx1",NA,NA,"rk","survey",1,295230.992,2748699.761,24.845143,121.447536,1,"C114115","16/04/2018",4,"Spring","Amphibia","Anura","Bufo bankorensis",123,211.04,34.07,530.33,45.3978052,596.26,1,0,7.38,0,8.04,42.45,0,0,0,0,0,5.3,0,0,23.34,0,6.69,34.56,0,0,0,0,35.05,0,0,0,0,49.35,0,0,0,49.5,286.26,1.5,2,1,6,15,22,30,33,0,0,0,1,2,2,7.591761907,9.117964029,11.48326302,12.34107752,13.46769357,14.75099102,23.04503695,27.24965784,32.82531805,38.94418577,42.27645656,42.18582604,5,18,91,212,360,509,4,10,57,114,196,299,1.666666667,1.8,2.275,2.18556701,2.045454545,1.871323529,1.333333333,1.111111111,1.583333333,1.461538462,1.484848485,1.4375,2,6,6,6,6,6,2,2,4,4,4,4,0,0,0,76.40572726,2471.706724,8117.538126,0,0,0,0,0,0,0,0,0,0,388.5504769,2793.043673,0,0,0,0,0,0,152.7030671,1219.260608,4968.17588,9763.342504,17066.2002,27768.4467,820.1368786,3265.956686,12865.98262,28771.18328,50449.01075,80360.186,0,0,0,0,2233.942318,8912.199876,0,0,0,0,0,0,0,5.212911611,311.349786,2726.683414,9123.237458,10991.35772,0,0,0,0,0,0,0,203.5648182,4546.966425,8762.536399,11845.51151,14577.39853,"0","1","0","0"
2,"sx2",NA,NA,"rk","survey",1,295374.1731,2748484.223,24.843193,121.448945,1,"C114115","16/04/2018",4,"Spring","Amphibia","Anura","Bufo bankorensis",17.69,238.76,292.03,312.14,6.783095644,499.73,1,0,43.28,0,0,0,0,0,0,0,0,0,0,33.15,0,0,0,6.77,9.61,8.26,0,0,0,0,0,4.62,8.26,38.5,40.53,0,0,7.74,296.27,2.5,6,1,1,4,11,21,29,0,0,0,2,2,3,16.29269254,20.85017425,22.82921516,21.56625269,23.58557004,24.37476679,34.56454695,40.1406144,37.696245,40.46475177,42.46576159,41.6877643,9,32,89,198,367,575,2.703124084,11,47,97,161,254,3,3.2,2.282051282,2.129032258,2.061797753,1.982758621,1.11947233,1.222222222,1.205128205,1.2125,1.229007634,1.329842932,6,6,6,6,6,6,6,2,2,2,2,4,0,8.283875227,2469.598621,6602.223853,7626.110656,7787.855527,0,0,0,0,0,0,0,0,0,0,1616.999662,3957.099078,0,0,0,0,0,0.37897385,0,430.9044772,4023.829877,9486.533014,27486.79979,47353.52635,597.0645143,3234.385377,14486.02746,30742.40922,49803.63569,73975.86131,0,735.1034628,2573.3824,5592.09646,7175.892186,14345.52782,0,0,0,0,0,0,0,0,137.0974183,1599.268421,2417.479143,2728.828929,0,0,0,0,0,203.7172239,713.6566081,1868.210571,3280.064632,6791.050984,11574.85946,16804.96868,"0","1","0","0"
3,"sx3",NA,NA,"rk","survey",1,295442.4274,2748387.081,24.842314,121.449617,1,"C114115","16/04/2018",4,"Spring","Amphibia","Anura","Odorrana swinhoana",132.15,197.17,394.19,243.46,25.69051012,488.14,1,0,41.84,0,0,9.73,0,0,0,0,9.3,30.62,0,30.85,0,0,0,0,0,0,45.79,0,30.36,0,0,0,0,0,46.44,0,0,0,302.72,1,1,1,2,4,6,9,15,0,0,0,0,1,3,13.87252363,14.90363945,28.08032356,29.77820718,28.52020834,27.96182679,23.47084332,25.83594022,30.96349985,34.4603266,36.79699172,37.92376205,3,35,146,266,425,625,2,9,27,49,97,179,1,3.181818182,2.607142857,2.030534351,1.800847458,1.75070028,1,1.285714286,1.227272727,1.166666667,1.310810811,1.432,1,6,6,6,6,6,1,2,2,2,4,4,0,0,0,0.249038143,3757.576279,10259.05369,0,0,0,0,0,0,0,0,675.2626269,3212.054404,9820.11713,21598.87335,0,0,0,0,0,1885.312981,0,423.1070265,10603.40854,25627.0448,42722.92475,60369.49609,618.4082798,2400.549766,7900.117441,15722.34946,27795.86454,44975.57099,0,0,2103.375743,10714.01856,19466.04016,26743.09845,0,0,0,0,0,0,217.7861767,353.6770549,353.6770549,353.6838906,1641.736332,2417.479143,0,0,0,0,76.66988555,799.678056,5.935876609,2136.750197,5010.345817,7254.934456,8590.58425,11520.95293,"0","0","1","0"
4,"sx4",NA,NA,"rk","survey",1,294977.1363,2747754.876,24.83662,121.444993,1,"C114115","16/04/2018",4,"Spring","Amphibia","Anura","Bufo bankorensis",92.44,93,325.52,543.53,46.57550775,120.35,0,0,0,0,0,0,47.91,0,0,0,47.65,0,47.89,0,0,0,0,0,56.62,12.55,0,0,0,0,2.27,0,0,0,0,20.57,0,65.81,334.38,2.2,3,0,2,5,6,7,8,0,0,0,1,1,1,13.4238507,10.2771939,12.53296303,17.40712462,20.08529138,22.36752915,35.47900963,35.22618537,36.15739263,32.38426701,32.89947296,32.20817634,8,15,84,163,263,358,3,18,60,183,321,478,2.666666667,1.875,2.470588235,2.328571429,2.247863248,2.093567251,1.5,1.636363636,1.363636364,1.742857143,1.671875,1.522292994,3,3,6,6,6,6,2,2,2,4,4,4,0,0,142.8339983,2875.737947,4577.148476,5157.317601,0,0,0,0.001648914,4007.406381,6496.556565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1339.95851,8492.035782,21679.75342,39084.96865,764.1289479,3701.234956,13039.95231,32475.53159,56294.69488,80377.93308,0,0,0,0,0,0,0,0,2906.739547,6839.43206,14268.7093,34816.22718,0,0,722.1867012,1383.251481,1383.251481,1383.251481,0,0,0,0,0,0,0,102.4754075,3691.719863,6335.207546,7817.370038,9871.116917,"1","0","0","0"
5,"sx5",NA,NA,"rk","survey",1,295336.5597,2748150.183,24.840178,121.448562,1,"C114115","16/04/2018",4,"Spring","Amphibia","Anura","Hylarana latouchii",118.85,118.96,134.9,31.68,13.36211111,239.33,1,15.64,0,0,11.41,13.09,0,28.29,0,0,0,0,0,0,0,28.37,0,0,8.04,40.06,0,0,0,0,0,40.46,0,0,0,0,7.97,28.33,307.57,1.25,2,1,3,6,6,8,8,0,0,1,2,2,2,15.08003502,12.1567331,18.03419015,24.17561879,25.49110254,26.59358386,20.62309392,19.12706184,27.00117089,29.77412426,32.04416388,32.88349057,5.957455292,25,112,213,365,521,4,15,57,116,194,322,2.459189524,3.125,2.604651163,2.173469388,2.005494505,1.936802974,1.333333333,1.5,1.628571429,1.567567568,1.515625,1.526066351,6,6,6,6,6,6,2,3,3,4,4,4,0,207.1697474,4752.735551,5682.082503,6080.836373,6462.170872,0,0,401.7733661,401.7733661,1051.726733,2579.826426,0,439.518673,3833.02785,12722.27377,22307.7185,36729.17197,469.0165437,1427.656314,4305.624382,7798.736269,8612.629941,9661.265634,300.4148523,1004.187345,3471.299416,12181.81957,26242.11485,41523.79989,0,207.8822994,4258.036727,14602.22137,32273.63218,61602.48919,0,0,0,915.6395352,4339.815034,7379.792883,0,0,0,963.0962325,3974.423732,4154.440946,0,0,0,0,0,0,144.9379424,1251.468064,1831.965551,2032.340651,2035.682775,2035.682775,334.96708,1725.845603,3979.410236,5813.105456,7700.395603,10164.17636,"1","0","0","0"
6,"sx6",NA,NA,"rk","survey",1,295398.1672,2748363.739,24.842105,121.449179,1,"C114115","16/04/2018",4,"Spring","Amphibia","Anura","Hylarana guentheri",130.73,148.64,356.97,202.7,10.44940592,438.41,0,0,48.96,0,0,0,0,0,0,0,0,1.62,0,48.29,0,0,0,0,0,0,48.36,0,1.45,0,0,46.43,0,0,47.46,0,0,1.11,304.44,2,6,0,0,5,6,9,14,0,0,0,1,1,4,17.14557234,17.82515486,22.8422163,27.19436989,27.52089313,27.19873408,35.16953278,32.12785085,32.64221272,34.9421574,36.82780169,37.26672108,9,34,113,256,396,578,3,11,39,83,156,271,3,2.833333333,2.568181818,2.245614035,1.989949749,1.882736156,1,1.222222222,1.181818182,1.317460317,1.431192661,1.51396648,6,6,6,6,6,6,1,2,2,4,4,4,0,0,0,625.8699647,3179.091885,9545.82646,0,0,0,0,0,316.0441386,0,0,704.7853746,3857.267879,11474.94607,20909.61372,0,0,0,0,1702.764807,6247.919497,0,1072.060967,8128.127464,17570.19392,30733.72372,46347.30225,799.5626546,3423.934135,12176.28399,23850.90758,39527.93617,59206.58743,0,0,201.1987529,7075.940028,15279.48818,21737.95403,0,0,0,0,0,0,0,0,353.6770549,353.6770549,628.4841409,2024.705801,0,0,0,78.57332587,586.4354345,1689.120471,459.3075102,1632.241609,4033.258974,8090.488143,9972.379157,12166.77928,"0","0","1","0"
7,"sx7",NA,NA,"rk","survey",1,295252.8325,2748675.757,24.844926,121.447751,1,"C114115","16/04/2018",4,"Spring","Amphibia","Anura","Bufo bankorensis",154.12,242.53,66.47,503.32,56.90949427,586.09,1,0,0,0,0,48.7,0,0,0,0,0,0,0,0,45.6,0,6.69,48.69,0,0,0,0,48.82,0,0,0,0,48.88,0,0,0,49.03,288.05,1.25,2,1,6,15,23,28,36,0,0,0,2,2,2,8.935375401,8.102924442,10.06155127,13.07827159,14.57826848,15.08251509,26.99693807,31.6974535,35.87924779,40.47093581,43.5507006,42.54119488,2.947730103,13,93,218,358,515,4,12,49,119,201,296,1.220402332,1.3,2.384615385,2.294736842,2.034090909,1.886446886,1.333333333,1.2,1.289473684,1.4875,1.488888889,1.402843602,2,2,6,6,6,6,2,2,4,4,4,4,0,0,0,1616.205226,4919.449391,9467.441641,0,0,0,0,0,0,0,0,0,0,0,2263.466767,0,0,0,0,0,0,760.7195446,1653.533064,3366.447516,8686.570745,15855.46903,26721.31443,829.3111918,3570.734419,13603.07052,28940.11154,50557.81949,80116.8733,0,0,0,496.3536096,4138.040602,9310.470999,0,0,0,0,0,0,0,295.798039,311.349786,1562.083321,7247.699081,11332.9279,0,0,0,0,0,0,0,0,4915.892157,9385.889584,11793.60138,14969.92222,"0","1","0","0"
8,"sx8",NA,NA,"rk","survey",1,295246.0596,2748683.201,24.844993,121.447684,1,"C114115","16/04/2018",4,"Spring","Amphibia","Anura","Bufo bankorensis",144.4,232.74,56.42,511.63,54.1206544,589.07,0,0,0,0,0,48.63,0,0,0,0,0,0,0,0,35.48,0,6.69,48.58,0,0,0,0,48.79,0,0,0,0,49.07,0,0,0,49.22,288.23,1.4,2,0,6,15,23,28,34,0,0,0,2,2,2,7.108504772,8.202222294,10.92602624,12.73901949,14.18027656,14.94307646,28.47125816,31.33393631,34.97569538,40.01765054,43.26953731,42.53520751,4,12,88,214,357,511,3,11,54,117,201,292,1.333333333,1.333333333,2.2,2.252631579,2.04,1.858181818,1.5,1.1,1.421052632,1.4625,1.488888889,1.410628019,2,2,6,6,6,6,2,2,4,4,4,4,0,0,0,1243.309322,4001.910055,9323.294144,0,0,0,0,0,0,0,0,0,0,0,2666.432892,0,0,0,0,0,0,606.8937757,1611.45492,3909.827635,9022.809433,16298.32431,26249.10532,829.2055822,3575.595869,13477.76918,28999.04719,50516.91139,80095.72051,0,0,0,10.02690312,3673.108754,9256.717418,0,0,0,0,0,0,0,238.398674,311.349786,1944.079713,7869.910733,11372.29612,0,0,0,0,0,0,0,0,4665.751284,9418.288685,11655.24506,14828.94491,"0","1","0","0"
9,"sx9",NA,NA,"rk","survey",1,294554.5123,2749434.592,24.851798,121.440866,1,"C114115","27/04/2018",4,"Spring","Amphibia","Anura","unid",109.97,239.32,286.86,135.02,10.3286503,238.67,1,0,0,0,4.68,4.07,0,0,39.01,0,0,0,38.43,1,0,10.78,38.64,0,15.53,0,0,0,0,0,0,1.32,0,27.99,35.64,7.52,0,0,253.02,1,1,1,2,4,5,14,20,0,0,0,3,13,24,21.64481068,15.39331673,23.60690793,25.98792969,27.48988672,27.36091221,22.18898582,22.5959068,25.44748549,26.39429491,26.55236448,25.7346409,2,51,150,338,499,669,2,7,21,46,106,228,1,3.923076923,2.631578947,2.52238806,2.207964602,2.039634146,1,1,1.05,1.15,1.308641975,1.480519481,1,7,7,7,7,7,1,1,2,2,4,5,0,0,0,140.4075002,3292.937656,4522.296834,218.2076512,1175.638801,3329.346843,4326.604566,6024.005351,12322.74713,0,0,0,0,0,682.8574748,0,0,0,0,476.7604943,2519.830938,204.7305884,254.2591278,7128.00282,23193.55009,40793.9121,57884.43191,426.4615782,1112.974969,3506.189083,6891.667431,13245.58195,18212.10913,0,272.8559095,5314.866433,10301.99842,20021.85696,37179.47686,0,0,228.7388514,1752.7341,4856.530307,9525.842085,0,0,0,0,247.028144,247.028144,0,0,1.052688984,1184.233724,2031.210479,3672.634486,608.9634474,3870.589087,9377.940236,18142.61969,21755.07976,24866.74403,"1","0","0","0"
10,"sx10",NA,NA,"rk","survey",1,294555.5671,2749445.24,24.851894,121.440877,1,"C114115","27/04/2018",4,"Spring","Amphibia","Anura","Buergeria robusta",119.78,244.69,291.92,135.78,9.598747089,244,1,0,0,0,4.68,6.28,0,0,28.08,0,0,0,28.26,0,0,18.96,28.66,0,20.17,0.74,0,0,0,0,0,0.83,0,21.21,30.88,10.33,0,0,253.02,1,1,1,2,4,5,13,20,0,0,0,2,13,22,20.46645069,16.50048353,25.8636933,26.58473359,27.45290114,27.39526657,23.07960415,21.72309828,24.67490382,26.11975593,26.18962969,25.83038964,2,55,155,342,510,679,2,6,19,41,94,204,1,4.230769231,2.583333333,2.496350365,2.161016949,1.985380117,1,1,1.055555556,1.138888889,1.305555556,1.47826087,1,7,7,7,7,7,1,1,2,2,4,5,0,0,0,151.8675634,3481.858785,4790.349832,257.6281272,1036.520657,3227.136366,4268.379099,5633.634638,10999.99032,0,0,0,0,0,787.614326,0,0,0,0,375.6660918,2097.930855,231.344305,254.2591278,7414.724571,24450.7672,42542.92991,60629.48117,289.2125518,954.4425453,3091.192337,6204.266465,11819.67866,17033.28382,0,178.9895742,6005.493,11224.91076,22125.66143,39121.86935,0,0,106.3582274,1514.754521,4243.563001,8985.418506,0,0,0,0,247.028144,247.028144,0,0,0,1083.138057,1738.794138,3176.204788,661.403332,4300.404127,9132.322961,17243.38527,21633.12561,24769.38175,"1","0","0","0"
